City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
99,cabo san lucas,MX,2019-12-26 18:44:23,22.89,-109.91,75.99,68,40,4.7
100,sorgun,TR,2019-12-26 18:44:23,39.81,35.19,35.65,96,100,12.19
101,mayumba,GA,2019-12-26 18:44:23,-3.44,10.65,79.95,85,65,9.78
102,reserva,AR,2019-12-26 18:44:23,-38.73,-68.18,82.4,20,70,5.82
103,hit,IQ,2019-12-26 18:44:24,33.64,42.83,59.61,39,11,13.18
104,qaanaaq,GL,2019-12-26 18:44:24,77.48,-69.36,-1.23,81,91,7.31
105,ilulissat,GL,2019-12-26 18:43:53,69.22,-51.1,8.6,39,0,4.7
106,najran,SA,2019-12-26 18:44:24,17.54,44.22,62.6,36,99,4.7
107,kisanga,CD,2019-12-26 18:44:25,-11.72,27.4,67.46,95,100,3.87
108,atuona,PF,2019-12-26 18:44:25,-9.8,-139.03,81.1,75,29,19.69
109,gat,SN,2019-12-26 18:44:25,14.69,-16.54,96.8,28,0,6.42
110,shieli,KZ,2019-12-26 18:44:25,44.18,66.74,37.2,51,100,10.51
111,kichera,RU,2019-12-26 18:44:26,55.93,110.1,-5.62,98,100,2.82
112,eyl,SO,2019-12-26 18:44:26,7.98,49.82,78.71,62,46,24.43
113,bayonet point,US,2019-12-26 18:44:26,28.33,-82.68,79.0,83,90,6.93
114,dikson,RU,2019-12-26 18:44:26,73.51,80.55,-16.35,98,96,10.31
115,tiarei,PF,2019-12-26 18:44:27,-17.53,-149.33,80.6,78,75,3.36
116,talnakh,RU,2019-12-26 18:44:27,69.49,88.39,-27.4,74,75,4.47
117,sorland,NO,2019-12-26 18:44:27,67.67,12.69,35.6,69,90,3.36
118,lavrentiya,RU,2019-12-26 18:39:55,65.58,-170.99,-10.08,95,18,9.4
119,woodward,US,2019-12-26 18:42:05,36.43,-99.39,46.4,52,1,8.05
120,camacha,PT,2019-12-26 18:44:28,33.08,-16.33,66.2,82,20,10.29
121,mikhaylovskoye,RU,2019-12-26 18:44:29,43.1,44.64,32.0,69,90,2.24
122,caravelas,BR,2019-12-26 18:44:29,-17.73,-39.27,80.2,73,100,12.8
123,coahuayana,MX,2019-12-26 18:44:29,18.62,-100.35,91.2,30,2,1.79
124,sioux lookout,CA,2019-12-26 18:42:06,50.1,-91.92,23.0,85,90,4.7
125,naryan-mar,RU,2019-12-26 18:44:29,67.67,53.09,2.79,96,100,7.67
126,port victoria,AU,2019-12-26 18:44:30,-34.5,137.49,69.94,58,96,5.39
127,arbagar,RU,2019-12-26 18:44:30,51.94,116.28,-18.6,98,100,1.23
128,santa cruz,BR,2019-12-26 18:44:30,-6.22,-36.02,93.52,34,50,13.73
129,segovia,ES,2019-12-26 18:41:07,40.95,-4.12,55.0,81,84,2.24
130,saskylakh,RU,2019-12-26 18:44:31,71.97,114.09,-33.52,97,0,7.07
131,iqaluit,CA,2019-12-26 18:44:31,63.75,-68.52,10.4,72,90,6.93
132,pyapon,MM,2019-12-26 18:44:31,16.29,95.68,67.75,68,0,4.76
133,mursalimkino,RU,2019-12-26 18:44:31,55.04,58.56,24.33,82,98,4.03
134,qaqortoq,GL,2019-12-26 18:42:29,60.72,-46.03,37.4,25,67,26.4
135,inhambane,MZ,2019-12-26 18:44:32,-23.87,35.38,82.4,88,40,19.46
136,muros,ES,2019-12-26 18:44:32,42.77,-9.06,55.0,76,0,4.7
137,harbour breton,CA,2019-12-26 18:44:33,47.48,-55.8,32.0,100,70,8.99
138,leshukonskoye,RU,2019-12-26 18:44:33,64.9,45.76,21.0,96,100,4.45
139,victoria,BN,2019-12-26 18:40:16,5.28,115.24,78.8,88,75,5.97
140,jamestown,AU,2019-12-26 18:44:33,-33.21,138.6,76.28,21,90,15.93
141,kieta,PG,2019-12-26 18:44:33,-6.22,155.63,78.75,77,100,7.72
142,whitehorse,CA,2019-12-26 18:44:34,60.72,-135.06,30.2,80,75,21.92
143,longyearbyen,NO,2019-12-26 18:44:34,78.22,15.63,8.6,84,87,2.24
144,itarema,BR,2019-12-26 18:44:34,-2.92,-39.92,91.08,43,6,15.95
145,mayo,CA,2019-12-26 18:44:35,63.59,-135.9,32.0,96,90,12.75
146,hithadhoo,MV,2019-12-26 18:41:56,-0.6,73.08,82.83,75,20,3.49
147,myitkyina,MM,2019-12-26 18:44:35,25.38,97.4,55.62,66,0,4.27
148,jamame,SO,2019-12-26 18:44:35,0.07,42.75,80.82,81,0,21.59
149,podor,MR,2019-12-26 18:44:36,16.65,-14.96,91.4,19,0,5.1
150,kavaratti,IN,2019-12-26 18:44:36,10.57,72.64,83.12,68,0,2.71
151,yellowknife,CA,2019-12-26 18:44:36,62.45,-114.38,3.0,77,75,8.05
152,sinnamary,GF,2019-12-26 18:44:36,5.38,-52.96,80.98,81,99,15.52
153,morehead,US,2019-12-26 18:44:37,38.18,-83.43,60.8,58,90,5.82
154,luderitz,NA,2019-12-26 18:44:37,-26.65,15.16,69.8,56,11,25.28
155,port macquarie,AU,2019-12-26 18:44:37,-31.43,152.91,60.01,93,22,6.78
156,isla mujeres,MX,2019-12-26 18:40:02,21.23,-86.73,78.8,69,75,4.7
157,kalmunai,LK,2019-12-26 18:44:38,7.42,81.82,80.4,70,20,10.07
158,salalah,OM,2019-12-26 18:44:38,17.01,54.1,78.8,41,7,16.11
159,la ronge,CA,2019-12-26 18:44:39,55.1,-105.3,21.2,85,75,6.93
160,agogo,GH,2019-12-26 18:44:39,6.8,-1.08,86.4,27,1,0.87
161,shimoda,JP,2019-12-26 18:44:39,34.7,138.93,50.0,93,90,2.24
162,malchin,DE,2019-12-26 18:44:39,53.74,12.76,42.01,86,75,5.82
163,bambanglipuro,ID,2019-12-26 18:44:40,-7.95,110.28,76.57,83,100,2.19
164,cidreira,BR,2019-12-26 18:44:40,-30.17,-50.22,75.85,87,20,10.67
165,tabou,CI,2019-12-26 18:44:40,4.42,-7.36,81.16,74,0,5.1
166,liepaja,LV,2019-12-26 18:44:41,56.52,21.02,37.4,100,35,4.7
167,namibe,AO,2019-12-26 18:44:41,-15.19,12.15,73.9,82,27,9.1
168,portland,US,2019-12-26 18:42:05,43.66,-70.25,33.01,48,75,6.93
169,nurota,UZ,2019-12-26 18:44:42,40.56,65.69,48.2,31,100,13.87
170,xichang,CN,2019-12-26 18:44:42,27.88,102.25,24.01,92,100,4.07
171,ponta do sol,BR,2019-12-26 18:44:42,-20.63,-46.0,82.22,56,39,5.64
172,veseloyarsk,RU,2019-12-26 18:44:42,51.29,81.11,15.85,93,100,4.52
173,lincoln,GB,2019-12-26 18:44:43,53.23,-0.54,45.0,100,100,6.93
174,pangnirtung,CA,2019-12-26 18:44:43,66.15,-65.72,8.6,71,20,2.24
175,sao filipe,CV,2019-12-26 18:44:43,14.9,-24.5,75.96,61,0,13.76
176,aden,YE,2019-12-26 18:42:30,12.79,45.03,76.71,64,2,2.71
177,sao joao da barra,BR,2019-12-26 18:43:56,-21.64,-41.05,86.0,66,40,16.11
178,lorengau,PG,2019-12-26 18:44:44,-2.02,147.27,83.21,78,76,14.97
179,victoria point,AU,2019-12-26 18:44:44,-27.58,153.3,69.8,83,40,5.82
180,alice springs,AU,2019-12-26 18:44:44,-23.7,133.88,78.8,16,0,4.7
181,nizwa,OM,2019-12-26 18:44:00,22.93,57.53,60.21,45,0,2.04
182,leningradskiy,RU,2019-12-26 18:44:45,69.38,178.42,-14.73,90,100,9.91
183,vardo,US,2019-12-26 18:41:21,39.62,-77.74,55.99,53,40,3.76
184,graciano sanchez,MX,2019-12-26 18:44:45,23.92,-99.28,73.4,64,75,12.75
185,makakilo city,US,2019-12-26 18:44:46,21.35,-158.09,77.0,100,75,2.55
186,upernavik,GL,2019-12-26 18:44:46,72.79,-56.15,4.55,74,72,8.41
187,rawson,AR,2019-12-26 18:44:46,-43.3,-65.11,61.38,59,100,19.1
188,didi lilo,GE,2019-12-26 18:44:47,41.74,44.97,44.6,48,7,5.82
189,flora,PH,2019-12-26 18:44:47,18.21,121.42,72.37,97,100,1.52
190,batagay,RU,2019-12-26 18:44:47,67.65,134.64,-41.13,94,56,1.34
191,tevaitoa,PF,2019-12-26 18:44:47,-16.78,-151.5,77.65,78,100,13.67
192,kidal,ML,2019-12-26 18:44:47,18.44,1.41,70.88,12,98,9.44
193,jalu,LY,2019-12-26 18:44:48,29.03,21.55,62.13,60,35,8.97
194,geraldton,CA,2019-12-26 18:44:48,49.72,-86.95,26.6,92,90,8.05
195,keetmanshoop,NA,2019-12-26 18:44:49,-26.57,18.15,77.61,15,33,24.81
196,warrington,GB,2019-12-26 18:44:49,53.39,-2.59,43.0,100,90,8.05
197,baruun-urt,MN,2019-12-26 18:44:49,46.68,113.28,-4.36,91,0,8.21
198,segezha,RU,2019-12-26 18:44:49,63.74,34.31,26.1,94,100,17.6
199,kisangani,CD,2019-12-26 18:44:50,0.52,25.21,77.68,69,86,1.05
200,kungurtug,RU,2019-12-26 18:44:50,50.6,97.53,3.87,93,100,4.0
201,maniitsoq,GL,2019-12-26 18:44:50,65.42,-52.9,18.46,51,0,3.36
202,bitam,GA,2019-12-26 18:44:50,2.08,11.49,75.85,75,94,3.51
203,cochabamba,BO,2019-12-26 18:41:49,-17.39,-66.16,80.6,30,75,11.41
204,norman wells,CA,2019-12-26 18:44:51,65.28,-126.83,-23.8,74,75,3.36
205,owando,CG,2019-12-26 18:44:52,-0.49,15.91,77.18,77,62,2.84
206,guozhen,CN,2019-12-26 18:44:52,29.3,113.14,40.21,57,0,3.67
207,kiunga,PG,2019-12-26 18:44:52,-6.12,141.3,73.17,99,98,1.57
208,bafq,IR,2019-12-26 18:44:53,31.6,55.4,54.59,24,0,8.28
209,qasigiannguit,GL,2019-12-26 18:44:53,68.82,-51.19,8.6,39,0,4.7
210,lyubytino,RU,2019-12-26 18:44:53,58.81,33.39,35.22,96,100,7.36
211,aars,DK,2019-12-26 18:44:53,56.8,9.52,33.01,100,90,1.12
212,dumka,IN,2019-12-26 18:43:02,24.27,87.25,59.2,46,50,2.95
213,blythe,US,2019-12-26 18:44:54,33.61,-114.59,52.0,66,90,14.61
214,weimar,DE,2019-12-26 18:44:54,50.98,11.33,41.0,80,75,4.7
215,urmary,RU,2019-12-26 18:44:54,55.68,47.94,15.8,85,13,4.36
216,college,US,2019-12-26 18:44:55,64.86,-147.8,-11.99,75,90,2.53
217,mecca,SA,2019-12-26 18:42:32,21.43,39.83,69.08,45,0,3.29
218,mahajanga,MG,2019-12-26 18:44:55,-15.72,46.32,80.6,88,40,4.7
219,urengoy,RU,2019-12-26 18:44:56,65.96,78.37,-25.24,98,0,4.63
220,hasaki,JP,2019-12-26 18:44:56,35.73,140.83,46.4,93,75,5.82
221,fortuna,US,2019-12-26 18:44:56,40.6,-124.16,44.6,100,1,1.43
222,narsaq,GL,2019-12-26 18:44:56,60.91,-46.05,37.4,25,82,26.4
223,harper,US,2019-12-26 18:44:57,30.3,-99.24,66.2,77,90,10.31
224,isangel,VU,2019-12-26 18:44:57,-19.55,169.27,75.2,83,89,11.41
225,lima,PE,2019-12-26 18:44:57,-12.06,-77.04,77.0,61,40,11.41
226,egvekinot,RU,2019-12-26 18:44:57,66.32,-179.17,-19.86,92,63,6.13
227,mbeya,TZ,2019-12-26 18:44:58,-8.91,33.47,61.77,95,98,2.35
228,tasiilaq,GL,2019-12-26 18:44:58,65.61,-37.64,26.6,38,100,9.17
229,severo-kurilsk,RU,2019-12-26 18:44:58,50.68,156.12,21.13,89,99,10.16
230,grand-lahou,CI,2019-12-26 18:44:58,5.24,-5.0,82.85,72,10,11.1
231,airai,TL,2019-12-26 18:44:59,-8.93,125.41,68.58,93,84,0.96
232,kabelvag,NO,2019-12-26 18:44:59,68.21,14.48,33.8,73,40,5.82
233,trang,TH,2019-12-26 18:44:59,7.56,99.61,69.71,94,13,2.01
234,padong,PH,2019-12-26 18:44:59,18.05,120.76,78.8,94,20,3.36
235,belyy yar,RU,2019-12-26 18:45:00,53.6,91.39,10.4,72,40,6.71
236,shebalino,RU,2019-12-26 18:45:00,51.29,85.68,15.22,96,100,1.74
237,tabriz,IR,2019-12-26 18:45:00,38.08,46.29,37.4,72,40,4.7
238,beringovskiy,RU,2019-12-26 18:45:00,63.05,179.32,-14.44,96,76,15.77
239,waipawa,NZ,2019-12-26 18:45:01,-39.94,176.59,55.0,95,15,1.88
240,suntar,RU,2019-12-26 18:45:01,62.16,117.65,-29.51,97,100,5.35
241,sotuta,MX,2019-12-26 18:45:01,20.6,-89.01,78.8,57,75,1.63
242,vila,IT,2019-12-26 18:45:01,45.18,8.4,43.0,86,72,2.24
243,eureka,US,2019-12-26 18:43:14,40.8,-124.16,44.6,100,1,3.44
244,samarai,PG,2019-12-26 18:45:02,-10.62,150.67,74.35,89,82,3.13
245,sokoni,CD,2019-12-26 18:45:02,-12.89,28.78,68.04,89,96,1.59
246,cabo rojo,PR,2019-12-26 18:45:03,18.09,-67.15,81.0,75,90,6.93
247,tuatapere,NZ,2019-12-26 18:45:03,-46.13,167.69,52.0,86,98,8.01
248,dunedin,NZ,2019-12-26 18:45:03,-45.87,170.5,55.0,89,100,7.0
249,mabaruma,GY,2019-12-26 18:45:04,8.2,-59.78,86.54,63,79,3.85
250,chauk,MM,2019-12-26 18:45:04,20.89,94.82,68.13,60,43,3.18
251,iwanai,JP,2019-12-26 18:45:04,42.97,140.51,22.35,89,96,3.53
252,berlevag,NO,2019-12-26 18:45:04,70.86,29.09,32.47,67,100,15.1
253,warren,US,2019-12-26 18:42:32,42.48,-83.03,57.99,87,90,10.29
254,ocampo,MX,2019-12-26 18:45:05,27.32,-102.4,64.15,40,74,6.4
255,abalak,NE,2019-12-26 18:45:05,15.46,6.28,69.21,14,0,10.98
256,gerede,TR,2019-12-26 18:45:06,40.8,32.2,37.27,99,100,3.89
257,humaita,AR,2019-12-26 18:45:06,-24.93,-65.37,86.0,57,75,8.05
258,galt,CA,2019-12-26 18:45:06,43.36,-80.31,39.99,100,90,8.05
259,lafayette,US,2019-12-26 18:40:08,30.22,-92.02,71.01,93,90,3.36
260,srednekolymsk,RU,2019-12-26 18:45:07,67.46,153.71,-21.73,97,98,6.35
261,valenza,IT,2019-12-26 18:45:07,45.01,8.65,50.0,75,72,2.24
262,sampit,ID,2019-12-26 18:45:07,-2.54,112.95,75.51,92,96,1.88
263,mahebourg,MU,2019-12-26 18:45:07,-20.41,57.7,77.0,100,75,5.82
264,jambi,ID,2019-12-26 18:45:08,-1.6,103.62,73.35,97,100,2.17
265,san luis,AR,2019-12-26 18:45:08,-33.3,-66.34,92.64,23,0,9.69
266,kysyl-syr,RU,2019-12-26 18:45:08,63.9,122.77,-40.5,95,51,4.7
267,parana,BR,2019-12-26 18:45:09,-7.52,-72.89,87.8,70,75,3.36
268,sovetskaya,RU,2019-12-26 18:45:09,44.78,41.17,37.0,8,93,5.99
269,semnan,IR,2019-12-26 18:42:56,35.58,53.39,43.81,47,0,0.87
270,marsa matruh,EG,2019-12-26 18:40:25,31.35,27.25,55.4,71,40,10.29
271,torbay,CA,2019-12-26 18:45:10,47.66,-52.73,30.99,86,90,32.21
272,isperih,BG,2019-12-26 18:45:10,43.72,26.83,44.01,73,26,1.01
273,martinsicuro,IT,2019-12-26 18:45:10,42.89,13.92,48.99,81,0,5.82
274,broken hill,AU,2019-12-26 18:45:11,-31.97,141.45,82.4,20,46,14.99
275,husavik,CA,2019-12-26 18:45:11,50.56,-96.99,19.99,98,100,7.0
276,troitsko-pechorsk,RU,2019-12-26 18:45:12,62.71,56.19,26.83,95,100,7.49
277,saint-junien,FR,2019-12-26 18:45:12,45.89,0.9,51.01,87,90,11.41
278,eydhafushi,MV,2019-12-26 18:45:12,5.1,73.07,82.2,81,6,15.86
279,marzuq,YE,2019-12-26 18:45:12,14.4,46.47,57.27,39,6,0.74
280,lodja,CD,2019-12-26 18:45:13,-3.52,23.6,72.34,91,94,2.13
281,longfeng,CN,2019-12-26 18:45:13,31.05,103.87,46.99,44,46,2.24
282,kununurra,AU,2019-12-26 18:45:13,-15.77,128.74,84.2,70,55,3.36
283,russell,US,2019-12-26 18:45:05,38.9,-98.86,33.01,41,90,12.75
284,asosa,ET,2019-12-26 18:45:14,10.07,34.53,71.42,29,46,5.73
285,opuwo,NA,2019-12-26 18:45:14,-18.06,13.84,74.89,60,80,20.94
286,jining,CN,2019-12-26 18:45:14,35.41,116.58,30.83,46,0,6.06
287,jiangyou,CN,2019-12-26 18:45:14,31.78,104.73,31.35,78,13,1.59
288,rio brilhante,BR,2019-12-26 18:45:15,-21.8,-54.54,92.79,46,12,7.18
289,agirish,RU,2019-12-26 18:45:15,61.92,63.02,-2.6,95,100,8.12
290,valley city,US,2019-12-26 18:45:03,46.92,-98.0,23.0,100,90,20.8
291,balabac,PH,2019-12-26 18:45:16,7.99,117.06,79.2,85,76,9.71
292,okha,RU,2019-12-26 18:45:16,53.59,142.95,-2.07,93,100,16.71
293,ixtapa,MX,2019-12-26 18:45:16,20.71,-105.21,81.0,61,40,5.82
294,chingirlau,KZ,2019-12-26 18:45:17,51.09,54.08,21.04,94,100,9.01
295,yatou,CM,2019-12-26 18:45:17,3.63,9.81,84.2,83,20,1.12
296,abashiri,JP,2019-12-26 18:45:17,44.01,144.25,25.39,68,83,5.84
297,rocha,UY,2019-12-26 18:45:17,-34.48,-54.34,78.24,61,33,13.78
298,port lincoln,AU,2019-12-26 18:45:17,-34.72,135.86,65.12,76,96,5.57
299,ravar,IR,2019-12-26 18:45:18,31.27,56.81,47.3,31,0,1.01
300,ossora,RU,2019-12-26 18:45:18,59.24,163.07,10.92,94,100,25.14
301,vayalar,IN,2019-12-26 18:45:18,9.7,76.33,78.8,88,66,3.36
302,arzgir,RU,2019-12-26 18:45:19,45.37,44.21,36.91,87,63,6.46
303,synya,RU,2019-12-26 18:45:19,65.37,58.04,7.11,90,100,4.29
304,emerald,AU,2019-12-26 18:45:19,-23.53,148.16,73.4,69,0,9.17
305,vestmannaeyjar,IS,2019-12-26 18:42:54,63.44,-20.27,42.8,87,90,43.62
306,mlowo,TZ,2019-12-26 18:45:19,-9.01,33.0,63.81,92,95,2.26
307,severnoye,RU,2019-12-26 18:45:20,54.09,52.54,17.42,90,93,7.78
308,yining,CN,2019-12-26 18:45:20,29.04,114.56,35.74,80,0,0.98
309,troitskoye,RU,2019-12-26 18:45:20,52.98,84.68,14.88,96,100,4.16
310,chunskiy,RU,2019-12-26 18:45:21,56.08,99.63,-5.03,93,100,7.05
311,atherton,AU,2019-12-26 18:45:21,-17.27,145.48,77.0,78,40,4.7
312,tuy hoa,VN,2019-12-26 18:45:21,13.08,109.3,76.35,77,73,21.92
313,progreso,UY,2019-12-26 18:45:21,-34.68,-56.22,81.0,69,75,16.11
314,kaitangata,NZ,2019-12-26 18:45:22,-46.28,169.85,51.01,97,100,1.01
