City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
76,the valley,AI,2019-12-31 06:00:21,18.22,-63.06,77.0,88,75,3.36,light intensity shower rain,0.0,0.0
77,bonthe,SL,2019-12-31 06:04:28,7.53,-12.5,75.52,93,18,4.36,few clouds,0.0,0.0
78,port alfred,ZA,2019-12-31 06:04:28,-33.59,26.89,70.0,81,87,1.99,overcast clouds,0.0,0.0
79,upernavik,GL,2019-12-31 06:04:28,72.79,-56.15,-9.76,97,100,19.24,light snow,0.0,0.63
80,bowmore,US,2019-12-31 06:04:28,34.94,-79.3,53.01,57,1,8.05,clear sky,0.0,0.0
81,ancud,CL,2019-12-31 06:04:29,-41.87,-73.83,48.2,93,2,3.36,clear sky,0.0,0.0
82,katobu,ID,2019-12-31 06:04:29,-4.94,122.53,85.1,77,100,1.36,moderate rain,6.19,0.0
83,whitehorse,CA,2019-12-31 05:59:59,60.72,-135.06,34.0,86,75,12.75,broken clouds,0.0,0.0
84,epitalion,GR,2019-12-31 06:04:29,37.63,21.5,50.0,80,75,11.32,broken clouds,0.0,0.0
85,hithadhoo,MV,2019-12-31 06:04:30,-0.6,73.08,82.04,72,7,2.57,clear sky,0.0,0.0
86,tuatapere,NZ,2019-12-31 06:04:30,-46.13,167.69,73.0,62,33,5.99,scattered clouds,0.0,0.0
87,taperoa,BR,2019-12-31 06:01:53,-7.21,-36.83,74.07,76,100,5.66,overcast clouds,0.0,0.0
88,shenjiamen,CN,2019-12-31 06:04:30,29.96,122.3,45.0,75,84,20.09,broken clouds,0.0,0.0
89,alofi,NU,2019-12-31 06:04:31,-19.06,-169.92,82.4,88,75,11.41,broken clouds,0.0,0.0
90,nanortalik,GL,2019-12-31 06:04:31,60.14,-45.24,24.53,47,0,8.75,clear sky,0.0,0.0
91,butaritari,KI,2019-12-31 06:04:31,3.07,172.79,83.62,77,100,12.15,overcast clouds,0.0,0.0
92,xining,CN,2019-12-31 06:04:31,36.62,101.77,31.84,19,0,5.03,clear sky,0.0,0.0
93,farmington,US,2019-12-31 06:02:34,36.73,-108.21,16.0,78,1,5.82,clear sky,0.0,0.0
94,cayenne,GF,2019-12-31 06:04:26,4.94,-52.33,75.2,88,40,6.11,scattered clouds,0.0,0.0
95,brae,GB,2019-12-31 06:04:32,60.4,-1.35,46.4,75,62,12.75,broken clouds,0.0,0.0
96,dali,CN,2019-12-31 06:04:33,34.79,109.94,33.55,21,100,15.59,overcast clouds,0.0,0.0
97,terney,RU,2019-12-31 06:04:33,45.05,136.61,-2.9,59,5,8.57,clear sky,0.0,0.0
98,havre,US,2019-12-31 06:01:42,48.55,-109.68,30.2,63,1,19.46,clear sky,0.0,0.0
99,valentin gomez farias,MX,2019-12-31 06:04:34,24.05,-104.7,46.51,55,0,4.54,clear sky,0.0,0.0
100,kudahuvadhoo,MV,2019-12-31 06:04:34,2.67,72.89,82.38,79,90,11.97,light rain,0.13,0.0
101,narsaq,GL,2019-12-31 06:04:34,60.91,-46.05,10.4,60,0,3.36,clear sky,0.0,0.0
